"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses","adjusted_salaries","adjusted_max_salary","adjusted_min_salary"
"1",2010,"ATL",79,14,65883642,307564,14976754,3403820,8338,53,29,65883642,14976754,307564
"2",2010,"BOS",89,14,83552174,193802,19795712,3206896.5,8136,50,32,83552174,19795712,193802
"3",2010,"BRK",74,17,59366715,736000,10560000,2416067,7575,12,70,59366715,10560000,736000
"4",2010,"CHI",69,17,69700359,43319,12250000,2455680,7993,41,41,69700359,12250000,43319
"5",2010,"CHO",76,14,68681758,457588,11850000,5122397,7813,44,38,68681758,11850000,457588
"6",2010,"CLE",68,17,83398534,53834,2e+07,2644230,8373,61,21,83398534,2e+07,53834
"7",2010,"DAL",101,14,88916075,1e+06,19795714,5350000,8364,55,27,88916075,19795714,1e+06
"8",2010,"DEN",70,14,74935538,884881,15779912,2556208.5,8729,53,29,74935538,15779912,884881
"9",2010,"DET",72,15,60185833,457588,11625000,1805040,7709,27,55,60185833,11625000,457588
"10",2010,"GSW",58,19,65352372,43319,1.1e+07,2671440,8922,26,56,65352372,1.1e+07,43319
"11",2010,"HOU",49,19,68914971,48559,16378325,2300000,8395,42,40,68914971,16378325,48559
"12",2010,"IND",63,16,66733257,457588,11047619,2217080,8263,32,50,66733257,11047619,457588
"13",2010,"LAC",82,18,61616409,26917,12150000,2659940,7849,29,53,61616409,12150000,26917
"14",2010,"LAL",81,13,91378064,959111,23034375,5048000,8339,57,25,91378064,23034375,959111
"15",2010,"MEM",50,19,57287474,26917,1.6e+07,2e+06,8404,40,42,57287474,1.6e+07,26917
"16",2010,"MIA",84,15,74208013,255054,23016000,1362120,7914,47,35,74208013,23016000,255054
"17",2010,"MIL",76,16,66775602,303232,17040000,2834260,8009,46,36,66775602,17040000,303232
"18",2010,"MIN",27,17,62253360,736420,1.2e+07,2969280,8051,15,67,62253360,1.2e+07,736420
"19",2010,"NOP",61,14,70163827,69518,13520500,3263020,8220,37,45,70163827,13520500,69518
"20",2010,"NYK",60,15,85710076,736420,23239562,3089040,8373,29,53,85710076,23239562,736420
"21",2010,"OKC",53,19,58438646,175908,7350000,2759628,8322,50,32,58438646,7350000,175908
"22",2010,"ORL",70,13,82200916,1306455,18876000,4e+06,8426,59,23,82200916,18876000,1306455
"23",2010,"PHI",60,14,64883448,650000,14858471,1902700,8014,27,55,64883448,14858471,650000
"24",2010,"PHO",63,15,65288544,451866,16378325,1766280,9039,54,28,65288544,16378325,451866
"25",2010,"POR",65,17,56946258,51983,9e+06,2143080,8045,50,32,56946258,9e+06,51983
"26",2010,"SAC",40,19,67515718,76850,13655268,2035920,8200,25,57,67515718,13655268,76850
"27",2010,"SAS",77,14,79338309,736420,22183220,2870190,8312,50,32,79338309,22183220,736420
"28",2010,"TOR",42,16,67822433,85519,15779912,2974653,8534,40,42,67822433,15779912,85519
"29",2010,"UTA",46,12,71905244,269169,16452000,4427557.5,8547,53,29,71905244,16452000,269169
"30",2010,"WAS",68,16,73440274,80488,16192080,2000100,7892,26,56,73440274,16192080,80488
"31",2011,"ATL",80,14,71469843,473604,16324500,2864045,7790,44,38,69282908.1893669,15824979.9812394,459111.998470697
"32",2011,"BOS",93,14,82045867,136509,18800000,4999552,7913,56,26,79535312.1270745,18224731.1493338,132331.905556618
"33",2011,"BRK",55,15,58495989,52066,14940152,3250000,7722,24,58,56706046.427627,14482992.2090522,50472.8112777242
"34",2011,"CHI",65,13,54538076,208264,14400000,3100000,8087,62,20,52869243.218188,13959368.5399153,201891.245110897
"35",2011,"CHO",71,18,66542696,473604,9e+06,2770200,7650,34,48,64506528.965524,8724605.33744704,459111.998470697
"36",2011,"CLE",55,17,53990021,321652,13358905,1020960,7827,19,63,52337958.3761642,12950130.4294942,311809.639555613
"37",2011,"DAL",103,16,85409890,134863,17278618,2983393,8220,57,25,82796398.0183072,16749902.5362787,130736.272180458
"38",2011,"DEN",59,14,68019290,473604,16545454,3435828,8811,50,32,65937940.0648176,16039172.9198761,459111.998470697
"39",2011,"DET",78,15,65517821,473604,12500000,2798040,7951,30,52,63513014.5327222,12117507.4131209,459111.998470697
"40",2011,"GSW",31,15,68415336,342666,11968253,3065040,8477,36,46,66321867.2920925,11602031.5559685,332180.623617959
"41",2011,"HOU",52,15,72315654,780871,17686100,2669520,8685,43,39,70102837.8743748,17144915.8287358,756976.81049529
"42",2011,"IND",62,16,65088630,750000,10973202,2153704.5,8183,37,45,63096956.5227906,10637428.5264538,727050.444787254
"43",2011,"LAC",62,16,53225329,5e+05,11800000,2481660,8089,32,50,51596665.4978639,11438926.9979861,484700.296524836
"44",2011,"LAL",119,14,91428140,473604,24806250,3850000,8321,57,25,88630493.1374284,24047193.4613384,459111.998470697
"45",2011,"MEM",58,17,70241344,203057,17666666,2020200,8195,46,36,68092000.530206,17126076.4976105,196843.576222887
"46",2011,"MIA",135,18,66205855,222712,14500000,1290718,8369,58,24,64179995.1003605,14056308.5992202,215897.144879278
"47",2011,"MIL",87,17,69076690,98637,18300000,2e+06,7534,35,47,66962984.2519083,17740030.852809,95618.7662966404
"48",2011,"MIN",32,16,53461123,83305,11530592,3415140,8288,17,65,51825244.3413014,11177762.7230138,80755.9164040029
"49",2011,"NOP",57,17,68230729,67432,14940153,2500000,7784,46,36,66142909.1568114,14482993.1784528,65368.6207905254
"50",2011,"NYK",62,15,67016562,473604,17149243,1400000,8734,42,40,64965894.9469501,16624486.3345529,459111.998470697
"51",2011,"OKC",52,14,55922488,1200000,13250000,3633860,8596,55,27,54211293.0320131,12844557.8579081,1163280.71165961
"52",2011,"ORL",78,14,90770804,1028400,17730694,3750000,8135,52,30,87993271.2291955,17188145.2787822,996931.569892282
