"","salaries2.Rk","salaries2..","salaries2.Salary"
"1","1","Joe Johnson","$14,976,754"
"2","2","Josh Smith","$10,800,000"
"3","3","Jamal Crawford","$9,360,000"
"4","4","Marvin Williams","$7,500,000"
"5","5","Mike Bibby","$6,217,617"
"6","6","Zaza Pachulia","$4,750,000"
"7","7","Al Horford","$4,307,640"
"8","8","Maurice Evans","$2,500,000"
"9","9","Jeff Teague","$1,373,880"
"10","10","Joe Smith","$1,306,455"
"11","11","Jason Collins","$1,181,803"
"12","12","Randolph Morris","$855,189"
"13","13","Mario West","$446,740"
"14","14","Othello Hunter","$307,564"
