"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses"
"1",2010,"ATL",79,14,65883642,307564,14976754,3403820,8338,53,29
"2",2010,"BOS",89,14,83552174,193802,19795712,3206896.5,8136,50,32
"3",2010,"BRK",74,17,59366715,736000,10560000,2416067,7575,12,70
"4",2010,"CHI",69,17,69700359,43319,12250000,2455680,7993,41,41
"5",2010,"CHO",76,14,68681758,457588,11850000,5122397,7813,44,38
"6",2010,"CLE",68,17,83398534,53834,2e+07,2644230,8373,61,21
"7",2010,"DAL",101,14,88916075,1e+06,19795714,5350000,8364,55,27
"8",2010,"DEN",70,14,74935538,884881,15779912,2556208.5,8729,53,29
"9",2010,"DET",72,15,60185833,457588,11625000,1805040,7709,27,55
"10",2010,"GSW",58,19,65352372,43319,1.1e+07,2671440,8922,26,56
"11",2010,"HOU",49,19,68914971,48559,16378325,2300000,8395,42,40
"12",2010,"IND",63,16,66733257,457588,11047619,2217080,8263,32,50
"13",2010,"LAC",82,18,61616409,26917,12150000,2659940,7849,29,53
"14",2010,"LAL",81,13,91378064,959111,23034375,5048000,8339,57,25
"15",2010,"MEM",50,19,57287474,26917,1.6e+07,2e+06,8404,40,42
"16",2010,"MIA",84,15,74208013,255054,23016000,1362120,7914,47,35
"17",2010,"MIL",76,16,66775602,303232,17040000,2834260,8009,46,36
"18",2010,"MIN",27,17,62253360,736420,1.2e+07,2969280,8051,15,67
"19",2010,"NOP",61,14,70163827,69518,13520500,3263020,8220,37,45
"20",2010,"NYK",60,15,85710076,736420,23239562,3089040,8373,29,53
"21",2010,"OKC",53,19,58438646,175908,7350000,2759628,8322,50,32
"22",2010,"ORL",70,13,82200916,1306455,18876000,4e+06,8426,59,23
"23",2010,"PHI",60,14,64883448,650000,14858471,1902700,8014,27,55
"24",2010,"PHO",63,15,65288544,451866,16378325,1766280,9039,54,28
"25",2010,"POR",65,17,56946258,51983,9e+06,2143080,8045,50,32
"26",2010,"SAC",40,19,67515718,76850,13655268,2035920,8200,25,57
"27",2010,"SAS",77,14,79338309,736420,22183220,2870190,8312,50,32
"28",2010,"TOR",42,16,67822433,85519,15779912,2974653,8534,40,42
"29",2010,"UTA",46,12,71905244,269169,16452000,4427557.5,8547,53,29
"30",2010,"WAS",68,16,73440274,80488,16192080,2000100,7892,26,56
"31",2011,"ATL",80,14,71469843,473604,16324500,2864045,7790,44,38
"32",2011,"BOS",93,14,82045867,136509,18800000,4999552,7913,56,26
"33",2011,"BRK",55,15,58495989,52066,14940152,3250000,7722,24,58
"34",2011,"CHI",65,13,54538076,208264,14400000,3100000,8087,62,20
"35",2011,"CHO",71,18,66542696,473604,9e+06,2770200,7650,34,48
"36",2011,"CLE",55,17,53990021,321652,13358905,1020960,7827,19,63
"37",2011,"DAL",103,16,85409890,134863,17278618,2983393,8220,57,25
"38",2011,"DEN",59,14,68019290,473604,16545454,3435828,8811,50,32
"39",2011,"DET",78,15,65517821,473604,12500000,2798040,7951,30,52
"40",2011,"GSW",31,15,68415336,342666,11968253,3065040,8477,36,46
"41",2011,"HOU",52,15,72315654,780871,17686100,2669520,8685,43,39
"42",2011,"IND",62,16,65088630,750000,10973202,2153704.5,8183,37,45
"43",2011,"LAC",62,16,53225329,5e+05,11800000,2481660,8089,32,50
"44",2011,"LAL",119,14,91428140,473604,24806250,3850000,8321,57,25
"45",2011,"MEM",58,17,70241344,203057,17666666,2020200,8195,46,36
"46",2011,"MIA",135,18,66205855,222712,14500000,1290718,8369,58,24
"47",2011,"MIL",87,17,69076690,98637,18300000,2e+06,7534,35,47
"48",2011,"MIN",32,16,53461123,83305,11530592,3415140,8288,17,65
"49",2011,"NOP",57,17,68230729,67432,14940153,2500000,7784,46,36
"50",2011,"NYK",62,15,67016562,473604,17149243,1400000,8734,42,40
"51",2011,"OKC",52,14,55922488,1200000,13250000,3633860,8596,55,27
"52",2011,"ORL",78,14,90770804,1028400,17730694,3750000,8135,52,30
"53",2011,"PHI",53,14,68915246,762195,15959099,3788520,8119,41,41
"54",2011,"PHO",70,16,65979054,58504,17300000,2737534,8611,40,42
"55",2011,"POR",50,15,74584058,27859,13520500,1645440,7896,48,34
"56",2011,"SAC",32,16,45268465,473604,13428129,1185660,8151,24,58
"57",2011,"SAS",79,19,69522311,55718,18700000,918000,8502,61,21
"58",2011,"TOR",46,19,69992648,58393,14896000,2292600,8124,22,60
"59",2011,"UTA",72,14,75855296,473604,17823000,3350000,8153,39,43
"60",2011,"WAS",58,18,58324988,89670,19573711,2050520,7977,23,59
"61",2012,"ATL",115,16,73669912,122237,18038573,1352181,6375,40,26
"62",2012,"BOS",99,15,79820530,473604,21247044,2246400,6062,39,27
"63",2012,"BRK",76,20,65281235,61433,16359805,1871540,6144,22,44
"64",2012,"CHI",73,14,69548447,277566,13500000,4055000,6359,50,16
"65",2012,"CHO",57,15,57902024,473604,10262069,2750000,5739,7,59
"66",2012,"CLE",45,18,64875599,61433,15076715,1795980,6140,21,45
"67",2012,"DAL",114,13,74463409,788872,19092873,3e+06,6322,36,30
"68",2012,"DEN",53,15,58553173,289382,1.3e+07,3059000,6872,38,28
"69",2012,"DET",62,15,70923605,374289,12500000,3250000,5997,25,41
"70",2012,"GSW",50,17,61576901,116768,11610000,2956658,6453,23,43
"71",2012,"HOU",40,16,57021755,270427,11519840,2297066.5,6474,34,32
"72",2012,"IND",48,14,51554083,810000,12015904,2404620,6449,42,24
"73",2012,"LAC",95,17,67333389,42009,16359805,2000032,6438,40,26
"74",2012,"LAL",105,16,88264478,73818,25244493,2453100,6422,41,25
"75",2012,"MEM",69,17,70940349,65446,15200000,2e+06,6269,41,25
"76",2012,"MIA",95,15,74117458,248263,16022500,3e+06,6500,46,20
"77",2012,"MIL",62,15,60192388,245884,1.2e+07,3500000,6535,31,35
"78",2012,"MIN",42,15,56844339,5e+05,6262347,4300000,6464,26,40
"79",2012,"NOP",51,18,65441008,76392,14030000,2335820,5916,21,45
"80",2012,"NYK",82,16,76208092,473604,18518574,1352181,6458,36,30
"81",2012,"OKC",59,16,59501709,475000,15506632,3286498.5,6802,47,19
"82",2012,"ORL",68,16,86962825,414443,19269307,2973300,6215,37,29
"83",2012,"PHI",54,14,66672368,305792,17059727,2896232,6180,35,31
"84",2012,"PHO",88,16,80640576,51097,18300000,4125000,6492,33,33
"85",2012,"POR",71,16,79568536,762195,16032144,1962082.5,6415,28,38
"86",2012,"SAC",35,14,48950236,473604,8500000,3000642,6518,22,44
"87",2012,"SAS",60,17,73732762,38172,21164619,1463520,6841,50,16
"88",2012,"TOR",70,15,55063049,830000,9780992,2500000,5986,23,43
"89",2012,"UTA",59,13,56948761,544331,1.4e+07,3240000,6577,36,30
"90",2012,"WAS",51,15,55386345,270427,21136631,1680360,6180,20,46
"91",2013,"ATL",84,18,66768365,165487,13200000,2336763.5,8032,44,38
"92",2013,"BOS",86,19,73021989,33431,16790345,1352181,7818,41,40
"93",2013,"BRK",93,16,84290205,50258,19752645,1290703,7944,49,33
"94",2013,"CHI",80,14,75627699,589769,16402500,2056405.5,7641,45,37
"95",2013,"CHO",60,15,57491899,44835,12400000,3007920,7661,21,61
"96",2013,"CLE",48,21,68428583,251076,14850000,2225000,7913,24,58
"97",2013,"DAL",129,20,67399169,23852,20907128,1688530,8293,41,41
"98",2013,"DEN",55,16,68566062,473604,14968250,3070214.5,8704,57,25
"99",2013,"DET",42,14,63057497,473604,11046591,3233840,7778,29,53
"100",2013,"GSW",45,13,69695346,473604,1.3e+07,4e+06,8296,47,35
"101",2013,"HOU",21,23,57323787,144867,8374646,1453520,8688,45,37
"102",2013,"IND",52,16,66687960,122625,13686750,2814689.5,7674,49,32
"103",2013,"LAC",113,16,74354449,250000,17779458,2987500,8289,56,26
"104",2013,"LAL",107,15,100451593,192228,27849149,3500000,8381,45,37
"105",2013,"MEM",55,14,62954838,61290,16500000,2979038.5,7659,56,26
"106",2013,"MIA",120,16,81558311,186656,17545000,3112500,8436,66,16
"107",2013,"MIL",75,15,62476395,854389,1.1e+07,3524880,8108,38,44
"108",2013,"MIN",53,21,69001896,80413,13668750,2575000,7851,31,51
